,Pclass,Sex,Age,Embarked,SibSp,Parch,Fare
736,3,female,48,S,1,3,34.375
737,1,male,35,C,0,0,512.3292
738,3,male,29.69911765,S,0,0,7.8958
739,3,male,29.69911765,S,0,0,7.8958
740,1,male,29.69911765,S,0,0,30
741,1,male,36,S,1,0,78.85
742,1,female,21,C,2,2,262.375
743,3,male,24,S,1,0,16.1
744,3,male,31,S,0,0,7.925
745,1,male,70,S,1,1,71
746,3,male,16,S,1,1,20.25
747,2,female,30,S,0,0,13
748,1,male,19,S,1,0,53.1
749,3,male,31,Q,0,0,7.75
750,2,female,4,S,1,1,23
751,3,male,6,S,0,1,12.475
752,3,male,33,S,0,0,9.5
753,3,male,23,S,0,0,7.8958
754,2,female,48,S,1,2,65
755,2,male,0.67,S,1,1,14.5
756,3,male,28,S,0,0,7.7958
757,2,male,18,S,0,0,11.5
758,3,male,34,S,0,0,8.05
759,1,female,33,S,0,0,86.5
760,3,male,29.69911765,S,0,0,14.5
761,3,male,41,S,0,0,7.125
762,3,male,20,C,0,0,7.2292
763,1,female,36,S,1,2,120
764,3,male,16,S,0,0,7.775
765,1,female,51,S,1,0,77.9583
766,1,male,29.69911765,C,0,0,39.6
767,3,female,30.5,Q,0,0,7.75
768,3,male,29.69911765,Q,1,0,24.15
769,3,male,32,S,0,0,8.3625
770,3,male,24,S,0,0,9.5
771,3,male,48,S,0,0,7.8542
772,2,female,57,S,0,0,10.5
773,3,male,29.69911765,C,0,0,7.225
774,2,female,54,S,1,3,23
775,3,male,18,S,0,0,7.75
776,3,male,29.69911765,Q,0,0,7.75
777,3,female,5,S,0,0,12.475
778,3,male,29.69911765,Q,0,0,7.7375
779,1,female,43,S,0,1,211.3375
780,3,female,13,C,0,0,7.2292
781,1,female,17,S,1,0,57
782,1,male,29,S,0,0,30
783,3,male,29.69911765,S,1,2,23.45
784,3,male,25,S,0,0,7.05
785,3,male,25,S,0,0,7.25
786,3,female,18,S,0,0,7.4958
787,3,male,8,Q,4,1,29.125
788,3,male,1,S,1,2,20.575
789,1,male,46,C,0,0,79.2
790,3,male,29.69911765,Q,0,0,7.75
791,2,male,16,S,0,0,26
792,3,female,29.69911765,S,8,2,69.55
793,1,male,29.69911765,C,0,0,30.6958
794,3,male,25,S,0,0,7.8958
795,2,male,39,S,0,0,13
796,1,female,49,S,0,0,25.9292
797,3,female,31,S,0,0,8.6833
798,3,male,30,C,0,0,7.2292
799,3,female,30,S,1,1,24.15
800,2,male,34,S,0,0,13
801,2,female,31,S,1,1,26.25
802,1,male,11,S,1,2,120
803,3,male,0.42,C,0,1,8.5167
804,3,male,27,S,0,0,6.975
805,3,male,31,S,0,0,7.775
806,1,male,39,S,0,0,0
807,3,female,18,S,0,0,7.775
808,2,male,39,S,0,0,13
809,1,female,33,S,1,0,53.1
810,3,male,26,S,0,0,7.8875
811,3,male,39,S,0,0,24.15
812,2,male,35,S,0,0,10.5
813,3,female,6,S,4,2,31.275
814,3,male,30.5,S,0,0,8.05
815,1,male,29.69911765,S,0,0,0
816,3,female,23,S,0,0,7.925
817,2,male,31,C,1,1,37.0042
818,3,male,43,S,0,0,6.45
819,3,male,10,S,3,2,27.9
820,1,female,52,S,1,1,93.5
821,3,male,27,S,0,0,8.6625
822,1,male,38,S,0,0,0
823,3,female,27,S,0,1,12.475
824,3,male,2,S,4,1,39.6875
825,3,male,29.69911765,Q,0,0,6.95
826,3,male,29.69911765,S,0,0,56.4958
827,2,male,1,C,0,2,37.0042
828,3,male,29.69911765,Q,0,0,7.75
829,1,female,62,S,0,0,80
830,3,female,15,C,1,0,14.4542
831,2,male,0.83,S,1,1,18.75
832,3,male,29.69911765,C,0,0,7.2292
833,3,male,23,S,0,0,7.8542
834,3,male,18,S,0,0,8.3
835,1,female,39,C,1,1,83.1583
836,3,male,21,S,0,0,8.6625
837,3,male,29.69911765,S,0,0,8.05
838,3,male,32,S,0,0,56.4958
839,1,male,29.69911765,C,0,0,29.7
840,3,male,20,S,0,0,7.925
841,2,male,16,S,0,0,10.5
842,1,female,30,C,0,0,31
843,3,male,34.5,C,0,0,6.4375
844,3,male,17,S,0,0,8.6625
845,3,male,42,S,0,0,7.55
846,3,male,29.69911765,S,8,2,69.55
847,3,male,35,C,0,0,7.8958
848,2,male,28,S,0,1,33
849,1,female,29.69911765,C,1,0,89.1042
850,3,male,4,S,4,2,31.275
851,3,male,74,S,0,0,7.775
852,3,female,9,C,1,1,15.2458
853,1,female,16,S,0,1,39.4
854,2,female,44,S,1,0,26
855,3,female,18,S,0,1,9.35
856,1,female,45,S,1,1,164.8667
857,1,male,51,S,0,0,26.55
858,3,female,24,C,0,3,19.2583
859,3,male,29.69911765,C,0,0,7.2292
860,3,male,41,S,2,0,14.1083
861,2,male,21,S,1,0,11.5
862,1,female,48,S,0,0,25.9292
863,3,female,29.69911765,S,8,2,69.55
864,2,male,24,S,0,0,13
865,2,female,42,S,0,0,13
866,2,female,27,C,1,0,13.8583
867,1,male,31,S,0,0,50.4958
868,3,male,29.69911765,S,0,0,9.5
869,3,male,4,S,1,1,11.1333
870,3,male,26,S,0,0,7.8958
871,1,female,47,S,1,1,52.5542
872,1,male,33,S,0,0,5
873,3,male,47,S,0,0,9
874,2,female,28,C,1,0,24
875,3,female,15,C,0,0,7.225
876,3,male,20,S,0,0,9.8458
877,3,male,19,S,0,0,7.8958
878,3,male,29.69911765,S,0,0,7.8958
879,1,female,56,C,0,1,83.1583
880,2,female,25,S,0,1,26
881,3,male,33,S,0,0,7.8958
882,3,female,22,S,0,0,10.5167
883,2,male,28,S,0,0,10.5
884,3,male,25,S,0,0,7.05
885,3,female,39,Q,0,5,29.125
886,2,male,27,S,0,0,13
887,1,female,19,S,0,0,30
888,3,female,29.69911765,S,1,2,23.45
889,1,male,26,C,0,0,30
890,3,male,32,Q,0,0,7.75
